,,"SNB","Dairy","Forest","Crop"
"Build_Wetland","effect-on-costs",25,68,"NA",34
"Build_Wetland","effect-on-yields",-0.2,-0.02,"NA",-0.1
"Build_Wetland","effect-on-emissions",-0.1,-0.05,"NA",-0.05
"Riparian_Planting","effect-on-costs",26,71,"NA",11
"Riparian_Planting","effect-on-yields",-0.2,-0.02,"NA",-0.01
"Riparian_Planting","effect-on-emissions",-0.1,-0.03,"NA",-0.04
"Clean_Races","effect-on-costs","NA",75,"NA","NA"
"Clean_Races","effect-on-yields","NA",0,"NA","NA"
"Clean_Races","effect-on-emissions","NA",-0.01,"NA","NA"
"Farm_Plan","effect-on-costs",6,34,"NA","NA"
"Farm_Plan","effect-on-yields",-0.05,-0.01,"NA","NA"
"Farm_Plan","effect-on-emissions",-0.06,-0.05,"NA","NA"
"Join_ETS","effect-on-costs",1,25,50,100
"Join_ETS","effect-on-yields",-0.25,-0.25,0.1,-0.1
"Join_ETS","effect-on-emissions",-0.5,-0.5,0.1,-0.25
