mean_or_sd,LUC,SNB,Dairy,Forest,Crop
Mean,1,4,11,-15,1.2
SD,1,1.2,3.3,4.5,0.36
Mean,2,3.75,10.5,-14.25,1.14
SD,2,1.125,3.15,4.275,0.342
Mean,3,3.5,10,-13.5375,1.083
SD,3,1.05,3,4.06125,0.3249
Mean,4,3.25,9.5,-12.860625,1.02885
SD,4,0.975,2.85,3.8581875,0.308655
Mean,5,3,9,-12.21759375,0.9774075
SD,5,0.9,2.7,3.665278125,0.29322225
Mean,6,2.75,8.5,-11.60671406,0.928537125
SD,6,0.825,2.55,3.482014219,0.278561138
Mean,7,2.5,8,-11.02637836,0.882110269
SD,7,0.75,2.4,3.307913508,0.264633081
Mean,8,2.25,7.5,-10.47505944,0.838004755
SD,8,0.675,2.25,3.142517832,0.251401427
