Intervention,Impact,"SNB","Dairy","Forest","Crop"
"Build_Wetland","costs","NA","NA","NA","NA"
"Build_Wetland","yields","NA","NA","NA","NA"
"Build_Wetland","emissions","NA","NA","NA","NA"
"Riparian_Planting","costs","NA","NA","NA","NA"
"Riparian_Planting","yields","NA","NA","NA","NA"
"Riparian_Planting","emissions","NA","NA","NA","NA"
"Clean_Races","costs","NA","NA","NA","NA"
"Clean_Races","yields","NA","NA","NA","NA"
"Clean_Races","emissions","NA","NA","NA","NA"
"Farm_Plan","costs","NA","NA","NA","NA"
"Farm_Plan","yields","NA","NA","NA","NA"
"Farm_Plan","emissions","NA","NA","NA","NA"
"Join_ETS","costs","NA","NA","NA","NA"
"Join_ETS","yields","NA","NA","NA","NA"
"Join_ETS","emissions","NA","NA","NA","NA"
