tick,income_costs_income,income_costs_costs,income_costs_debt,interventions_Build_Wetland,interventions_Clean_Races,interventions_Farm_Plan,interventions_Riparian_Planting,intervention_limits_Build_Wetland,intervention_limits_Clean_Races,intervention_limits_Farm_Plan,intervention_limits_Riparian_Planting,intervention_props_Build_Wetland,intervention_props_Clean_Races,intervention_props_Farm_Plan,intervention_props_Riparian_Planting,landuse_Crop,landuse_Dairy,landuse_Forest,landuse_SNB,env_metrics_ghg_emissions,env_metrics_nitrates,env_metrics_sediment,env_metrics_phosphates,env_metrics_e_coli
0,719112410,616362962,193829254,916,352,890,1109,9068,3558,9000,9068,0.101,0.0989,0.0989,0.1223,68,3558,1314,5442,590757,3184864,1606592,96565,613091
1,718979993,616037553,244335460,1626,508,1624,1647,8731,3402,8651,8731,0.1862,0.1493,0.1877,0.1886,80,3402,1651,5249,485076,3070672,1566752,94054,591701
2,712994582,613400660,240648745,2203,734,2245,2296,8486,3287,8403,8486,0.2596,0.2233,0.2672,0.2706,83,3287,1896,5116,407940,2986144,1539040,92228,576486
3,708533514,611304562,216929406,3133,872,2935,3083,8295,3213,8183,8295,0.3777,0.2714,0.3587,0.3717,112,3213,2087,4970,347849,2930848,1509712,90851,563131
4,705514096,611301026,198318398,3922,1012,3593,3653,8074,3127,7930,8074,0.4858,0.3236,0.4531,0.4524,144,3127,2308,4803,279479,2866480,1476208,89258,547766
5,702822563,611687256,188927793,4345,1253,4320,4094,7883,3068,7736,7883,0.5512,0.4084,0.5584,0.5193,147,3068,2499,4668,222394,2813920,1450032,88006,536112
6,703147957,613285261,191549119,4675,1370,4765,4551,7629,2957,7471,7629,0.6128,0.4633,0.6378,0.5965,158,2957,2753,4514,141828,2730976,1419776,86147,519924
7,699071130,611358209,188096802,5074,1540,5046,4818,7468,2891,7303,7468,0.6794,0.5327,0.6909,0.6452,165,2891,2914,4412,91461,2680288,1400208,84993,509696
8,700452572,613870866,196261108,5183,1654,5236,5066,7289,2874,7119,7289,0.7111,0.5755,0.7355,0.695,170,2874,3093,4245,44311,2647888,1366368,84033,498945
9,703136483,617159690,206276805,5373,1761,5353,5238,7126,2821,6927,7126,0.754,0.6242,0.7728,0.7351,199,2821,3256,4106,-5761,2605696,1339360,82905,487369
10,702247832,616027959,209781279,5435,1858,5337,5314,6937,2754,6722,6937,0.7835,0.6747,0.794,0.766,215,2754,3445,3968,-63034,2551840,1311408,81598,474975
